id,title,artist,video_id,cover,emotion_id
1,Happy,태연,uVuhV1VVeEI,https://i.pinimg.com/originals/a2/cb/87/a2cb873b21bce7bcd43d54709ae562f6.jpg,1
2,Mr. Blue Sky,Electric Light Orchestra,wuJIqmha2Hk,https://i.ytimg.com/vi/wuJIqmha2Hk/maxresdefault.jpg,1
3,풍선,동방신기,rdTVb64pfMs,https://i.ytimg.com/vi/H0MQJfgjl3o/hq720.jpg?sqp=-oaymwEZCNAFEJQDSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLCPDQQE8ZZb3SBLl4p1fd2Zfk2xtQ,1
4,행복,H.O.T,VBqu26E-K20,https://i.ytimg.com/vi/VBqu26E-K20/hq720.jpg?sqp=-oaymwEZCNAFEJQDSFXyq4qpAwsIARUAAIhCGAFwAQ==&rs=AOn4CLBEzYWWXCW5ZkToCYpJu4JhCOKBwQ,1
5,Come A Little Bit Closer,Jay And Americans,e3LVGBB94eY,https://passthepaisley.com/wp-content/uploads/2015/09/Jay-and-the-Americans-1-500x480.jpg,1
6,Uptown girl,Billy Joel,H6M0EulApMM,https://www.lyrics007.com/images/cover_art/0/164/71.jpg,1
7,Happy,Mocca,HduKGO9oPPI,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F99F7AB3C5C3595D433,1
8,Just the way You Are,Bruno Mars,wGUKBXpfU1o,https://i.ytimg.com/vi/wGUKBXpfU1o/maxresdefault.jpg,1
9,Take on Me,A-ha,MIgK3zOk0zg,https://t1.daumcdn.net/cfile/tistory/99E64E3B5C149F7023,1
10,September,"Earth, Wind & Fire",3cKtSlsYVEU,https://img1.daumcdn.net/thumb/R720x0.q80/?scode=mtistory2&fname=http%3A%2F%2Fcfile7.uf.tistory.com%2Fimage%2F2113323D54232FC83705AF,1
11,Can't Take My Eyes Off You,Frankie Valli,3pYqVj-FyBk,https://img1.daumcdn.net/thumb/R800x0/?scode=mtistory2&fname=https%3A%2F%2Ft1.daumcdn.net%2Fcfile%2Ftistory%2F99895A33599E8AFD08,1
12,일과 이분의 일,투투,9jGnozOVOS8,"https://cdnimg.genie.co.kr/Y/IMAGE/IMG_ALBUM/080/413/971/80413971_1397801265578_1_600x600.JPG/dims/resize/Q_80,0",1
13,감사,김동률,CQOmKZh99Vw,https://image.bugsm.co.kr/album/images/500/80254/8025429.jpg,1
14,너의 밤은 어때,정은지,JicPLKaQHkQ,https://image.bugsm.co.kr/album/images/500/9967/996709.jpg,1
15,Endless Love,"Lionel Richie, Diana Ross",ubrfaD9DIus,https://i.pinimg.com/736x/9a/e3/fc/9ae3fc575987acc172181fa43d3231dc.jpg,1
16,별 보러 가자,적재,TlaGDYbxnJk,https://image.bugsm.co.kr/album/images/500/6248/624831.jpg,1
17,Tango,Abir,QhtGc2igBpU,https://mblogthumb-phinf.pstatic.net/MjAyMDA1MDFfMTEg/MDAxNTg4MzI0MjU4NTA3.KwZjid2ZUhsCUGGwAAWvTBTzXezlYSFGXgOObXPMy84g.57hhGIqLRsbAawK00g2SrdN83NeeiqqFWmOHNrK3r6wg.JPEG.csh03041/81116963_1540522350149_1_600x600.jpg?type=w800,1
18,좋은날,아이유,OIHlzvEKncQ,https://i1.sndcdn.com/artworks-000216389493-cbiq3w-t500x500.jpg,1
19,CAN'T STOP THE FEELING!,Justin Timberlake,YxRothF-QE4,https://images-na.ssl-images-amazon.com/images/I/61Pjjy1BCbL._SX342_QL70_ML2_.jpg,1
20,Love Never Felt So good,Michael Jackson,0wnuTGGuAVs,https://t1.daumcdn.net/cfile/blog/253250375655C23D32,1
21,나비와 고양이,볼빨간 사춘기,L17NNsFzRi4,https://image.bugsm.co.kr/album/images/500/203230/20323074.jpg,1
22,Sweet Dream,장나라,jdWu3O0enP8,https://e.snmc.io/i/600/w/63176ea56ce6698416cc77dd0bb593d7/4516066,1
23,나만 봄,볼빨간 사춘기,2ZdgQLJP08c,https://i1.sndcdn.com/artworks-000514395429-a7v0o7-t500x500.jpg,1
